Timestamp,Source,Direction,Message
12:23:44.031,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4737  [CRC FAIL calc=E9A5 recv=F2A5]
12:23:44.031,COM15,   ,RAW: 01 03 20 00 12 81 CC 00 00 00 00 00 12 86 91 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D4 A4 AA BF 01 03 00 A6 00 24 A5 F2
12:23:44.255,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47446  [CRC FAIL calc=35D1 recv=00EA]
12:23:44.255,COM15,   ,RAW: 01 03 48 09 B9 56 C2 00 08 D4 AF 09 FB 53 C6 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5D EA 00
12:23:44.351,COM15,RX,FC37  unit=3  [CRC FAIL calc=34EF recv=A5B9]
12:23:44.351,COM15,   ,RAW: 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 C6 33 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:23:45.375,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:45.376,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:45.536,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=83  [CRC FAIL calc=02A4 recv=19A4]
12:23:45.536,COM15,   ,RAW: 01 03 24 00 00 53 1B 00 00 52 CB 00 00 52 B0 00 02 E8 0E 00 02 E9 EE 00 02 EA 7B 00 05 08 B2 00 05 0D 98 00 05 0B 78 8D E5 01 03 00 66 00 10 A4 19
12:23:45.696,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4734  [CRC FAIL calc=E9A5 recv=F2A5]
12:23:45.696,COM15,   ,RAW: 01 03 20 00 12 7E BD 00 00 00 00 00 12 82 FB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 86 DA 3C 01 03 00 A6 00 24 A5 F2
12:23:45.936,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47449  [CRC FAIL calc=D880 recv=0003]
12:23:45.936,COM15,   ,RAW: 01 03 48 09 B9 59 62 00 08 D4 AF 09 FB 56 68 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 03 00
12:23:46.001,COM15,RX,FC37  unit=3  [CRC FAIL calc=78CC recv=D0DB]
12:23:46.001,COM15,   ,RAW: 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 EC 94 01 03 61 B4 00 01 DB D0
12:23:46.032,COM15,RX,Read Holding Regs  unit=1  [CRC OK]
12:23:46.032,COM15,   ,RAW: 01 03 02 00 7C B9 A5
12:23:47.055,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:47.055,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:47.216,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=82  [CRC FAIL calc=02A4 recv=19A4]
12:23:47.216,COM15,   ,RAW: 01 03 24 00 00 52 66 00 00 52 B1 00 00 51 F4 00 02 E4 E2 00 02 E8 EF 00 02 E9 0E 00 05 04 AC 00 05 0C 95 00 05 06 D2 57 3E 01 03 00 66 00 10 A4 19
12:23:47.376,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4701  [CRC FAIL calc=E9A5 recv=F2A5]
12:23:47.376,COM15,   ,RAW: 01 03 20 00 12 5D AF 00 00 00 00 00 12 5E 88 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 59 49 15 17 01 03 00 A6 00 24 A5 F2
12:23:47.615,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47450  [CRC FAIL calc=A88B recv=0009]
12:23:47.616,COM15,   ,RAW: 01 03 48 09 B9 5A B1 00 08 D4 AF 09 FB 57 B6 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 09 00
12:23:47.695,COM15,RX,FC37  unit=3  [CRC FAIL calc=1BE2 recv=A5B9]
12:23:47.695,COM15,   ,RAW: 03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 89 96 A0 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:23:48.720,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:48.720,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:48.912,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=82  [CRC FAIL calc=02A4 recv=19A4]
12:23:48.912,COM15,   ,RAW: 01 03 24 00 00 52 AC 00 00 52 DD 00 00 53 0E 00 02 E8 D1 00 02 EA 8B 00 02 E9 33 00 05 0A FB 00 05 0C 63 00 05 0A 8E 3E 73 01 03 00 66 00 10 A4 19
12:23:49.056,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4736  [CRC FAIL calc=E9A5 recv=F2A5]
12:23:49.056,COM15,   ,RAW: 01 03 20 00 12 80 A7 00 00 00 00 00 12 82 5D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7F 76 4C F5 01 03 00 A6 00 24 A5 F2
12:23:49.295,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47453  [CRC FAIL calc=EB2D recv=0018]
12:23:49.295,COM15,   ,RAW: 01 03 48 09 B9 5D 50 00 08 D4 AF 09 FB 5A 55 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 18 00
12:23:49.375,COM15,RX,FC37  unit=3  [CRC FAIL calc=F882 recv=A5B9]
12:23:49.375,COM15,   ,RAW: 03 25 A5 00 00 03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 88 55 82 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:23:50.413,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:50.413,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:50.557,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=83  [CRC OK]
12:23:50.557,COM15,   ,RAW: 01 03 24 00 00 53 AA 00 00 53 F6 00 00 51 FA 00 02 E8 F9 00 02 EA 03 00 02 E8 38 00 05 0B 20 00 05 0A 96 00 05 09 E0 56 B4
12:23:50.589,COM15,RX,Read Holding Regs  unit=1  addr=102  qty=16  [CRC OK]
12:23:50.589,COM15,   ,RAW: 01 03 00 66 00 10 A4 19
12:23:50.717,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4746  [CRC OK]
12:23:50.717,COM15,   ,RAW: 01 03 20 00 12 8A 49 00 00 00 00 00 12 8F 6A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D7 76 E0 EA
12:23:50.748,COM15,RX,Read Holding Regs  unit=1  addr=166  qty=36  [CRC OK]
12:23:50.748,COM15,   ,RAW: 01 03 00 A6 00 24 A5 F2
12:23:50.973,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47455  [CRC FAIL calc=D594 recv=0037]
12:23:50.973,COM15,   ,RAW: 01 03 48 09 B9 5F F4 00 08 D4 AF 09 FB 5C F9 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 37 00
12:23:51.053,COM15,RX,FC37  unit=3  [CRC FAIL calc=4259 recv=A5B9]
12:23:51.053,COM15,   ,RAW: 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 88 DC DE 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:23:52.093,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:52.093,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:52.253,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=82  [CRC FAIL calc=02A4 recv=19A4]
12:23:52.253,COM15,   ,RAW: 01 03 24 00 00 52 F5 00 00 53 1C 00 00 52 1A 00 02 E6 35 00 02 E9 2B 00 02 E9 AA 00 05 06 29 00 05 0C D0 00 05 08 DB C2 64 01 03 00 66 00 10 A4 19
12:23:52.380,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4723  [CRC OK]
12:23:52.380,COM15,   ,RAW: 01 03 20 00 12 73 96 00 00 00 00 00 12 76 E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B0 97 51 35
12:23:52.412,COM15,RX,Read Holding Regs  unit=1  addr=166  qty=36  [CRC OK]
12:23:52.412,COM15,   ,RAW: 01 03 00 A6 00 24 A5 F2
12:23:52.650,COM15,RX,Read Holding Regs  unit=1  addr=18441  qty=47457  [CRC FAIL calc=194E recv=0043]
12:23:52.650,COM15,   ,RAW: 01 03 48 09 B9 61 43 00 08 D4 AF 09 FB 5E 49 00 12 4A BE 00 0B 3B 78 00 97 81 64 05 C7 5E 43 00
12:23:52.730,COM15,RX,FC37  unit=3  [CRC FAIL calc=9916 recv=A5B9]
12:23:52.730,COM15,   ,RAW: 03 25 A5 00 00 03 E7 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 88 76 BA 01 03 61 B4 00 01 DB D0 01 03 02 00 7C B9 A5
12:23:53.753,COM15,RX,Read Holding Regs  unit=1  addr=16  qty=18  [CRC OK]
12:23:53.753,COM15,   ,RAW: 01 03 00 10 00 12 C4 02
12:23:53.930,COM15,RX,Read Holding Regs  unit=1  addr=9216  qty=82  [CRC FAIL calc=02A4 recv=19A4]
12:23:53.930,COM15,   ,RAW: 01 03 24 00 00 52 81 00 00 52 77 00 00 52 44 00 02 E6 87 00 02 E9 E2 00 02 E9 10 00 05 07 A5 00 05 0C BE 00 05 08 30 40 F5 01 03 00 66 00 10 A4 19
12:23:54.089,COM15,RX,Read Holding Regs  unit=1  addr=8192  qty=4709  [CRC FAIL calc=E9A5 recv=F2A5]
12:23:54.089,COM15,   ,RAW: 01 03 20 00 12 65 76 00 00 00 00 00 12 66 1C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4D F9 83 4C 01 03 00 A6 00 24 A5 F2
