Timestamp,Direction,Frame,Parsed,Status
21:21:41.576,INF,Session started – logs → logs\modbus_20260327_212141.*,,OK
21:21:59.432,INF,RTU connected → COM8  9600/N/1/8  slave=1,,OK
21:22:47.815,TX,01 03 13 A6 00 02 00 00,FC03 Read Holding Regs  addr=5030  qty=2,OK
21:22:47.884,RX,FFFF FFFF,"[65535, 65535]",OK
21:23:15.203,TX,01 03 13 A6 00 02 00 00,FC03 Read Holding Regs  addr=5030  qty=2,OK
21:23:15.303,RX,FFFF FFFF,[nan],OK
21:23:17.981,TX,01 03 13 A6 00 02 00 00,FC03 Read Holding Regs  addr=5030  qty=2,OK
21:23:18.033,RX,FFFF FFFF,[nan],OK
21:23:19.376,TX,01 03 13 A6 00 02 00 00,FC03 Read Holding Regs  addr=5030  qty=2,OK
21:23:19.447,RX,FFFF FFFF,[nan],OK
21:23:26.190,TX,01 03 13 A6 00 02 00 00,FC03 Read Holding Regs  addr=5030  qty=2,OK
21:23:26.225,RX,FFFF FFFF,"[65535, 65535]",OK
21:23:30.183,TX,01 03 13 A6 00 01 00 00,FC03 Read Holding Regs  addr=5030  qty=1,OK
21:23:30.272,RX,FFFF,[65535],OK
21:23:48.231,TX,01 04 13 A6 00 01 00 00,FC04 Read Input Regs  addr=5030  qty=1,OK
21:23:48.284,RX,A9CE,[43470],OK
21:24:05.355,TX,01 04 13 87 00 01 00 00,FC04 Read Input Regs  addr=4999  qty=1,OK
21:24:05.384,RX,2C0C,[11276],OK
21:26:46.859,TX,01 04 13 87 00 01 00 00,FC04 Read Input Regs  addr=4999  qty=1,OK
21:26:46.975,RX,2C0C,[11276],OK
21:26:53.929,TX,01 04 13 87 00 01 00 00,FC04 Read Input Regs  addr=4999  qty=1,OK
21:26:54.060,RX,2C0C,[11276],OK
21:27:17.957,TX,01 04 13 87 00 02 00 00,FC04 Read Input Regs  addr=4999  qty=2,OK
21:27:18.037,RX,2C0C 0C80,"[11276, 3200]",OK
21:28:38.078,TX,01 04 13 93 00 02 00 00,FC04 Read Input Regs  addr=5011  qty=2,OK
21:28:38.170,RX,00CD 2A11,"[205, 10769]",OK
21:28:58.081,TX,01 03 13 93 00 02 00 00,FC03 Read Holding Regs  addr=5011  qty=2,OK
21:28:58.205,RX,0005 0C80,"[5, 3200]",OK
21:29:09.095,TX,01 03 13 93 00 01 00 00,FC03 Read Holding Regs  addr=5011  qty=1,OK
21:29:09.134,RX,0005,[5],OK
21:31:03.704,TX,01 03 13 87 00 02 00 00,FC03 Read Holding Regs  addr=4999  qty=2,OK
21:31:03.779,RX,07EA 0003,"[2026, 3]",OK
21:31:36.542,TX,01 03 13 87 00 01 00 00,FC03 Read Holding Regs  addr=4999  qty=1,OK
21:31:36.655,RX,07EA,[2026],OK
21:32:02.269,TX,01 03 13 87 00 02 00 00,FC03 Read Holding Regs  addr=4999  qty=2,OK
21:32:02.357,RX,07EA 0003,"[2026, 3]",OK
21:32:12.229,TX,01 04 13 87 00 02 00 00,FC04 Read Input Regs  addr=4999  qty=2,OK
21:32:12.272,RX,2C0C 0C80,"[11276, 3200]",OK
21:35:56.547,TX,01 04 13 92 00 01 00 00,FC04 Read Input Regs  addr=5010  qty=1,OK
21:35:56.596,RX,2A53,[10835],OK
21:36:46.452,TX,01 04 13 92 00 02 00 00,FC04 Read Input Regs  addr=5010  qty=2,OK
21:36:46.576,RX,2A20 00E3,"[10784, 227]",OK
21:36:59.127,TX,01 04 13 92 00 01 00 00,FC04 Read Input Regs  addr=5010  qty=1,OK
21:36:59.225,RX,2A3E,[10814],OK
21:41:34.477,TX,01 04 13 87 00 01 00 00,FC04 Read Input Regs  addr=4999  qty=1,OK
21:41:34.529,RX,2C0C,[11276],OK
21:43:39.442,TX,01 04 13 AB 00 01 00 00,FC04 Read Input Regs  addr=5035  qty=1,OK
21:43:39.489,RX,01F4,[500],OK
21:44:58.889,TX,01 04 13 A6 00 02 00 00,FC04 Read Input Regs  addr=5030  qty=2,OK
21:44:59.020,RX,DFB1 0000,"[57265, 0]",OK
