Timestamp,Direction,Frame,Parsed,Status
12:11:02.477,INF,Session started – logs → logs\modbus_20260406_121102.*,,OK
12:11:13.446,INF,RTU connected → COM15  9600/N/1/8  slave=1,,OK
12:11:27.755,TX,01 03 00 00 00 64 00 00,FC03 Read Holding Regs  addr=0  qty=100,OK
12:11:27.769,RX,,[],OK
12:11:31.888,TX,01 03 00 00 00 64 00 00,FC03 Read Holding Regs  addr=0  qty=100,OK
12:11:32.305,RX,,[],OK
12:11:39.356,INF,Log saved → logs\debug_export_20260406_121139.txt,,OK
12:12:26.987,TX,01 03 00 00 00 64 00 00,FC03 Read Holding Regs  addr=0  qty=100,OK
12:12:28.717,RX,,[],OK
12:12:43.403,TX,01 03 00 00 00 0A 00 00,FC03 Read Holding Regs  addr=0  qty=10,OK
12:12:43.461,RX,0000 48F3 0000 4891 0000 47E7 0000 0240 0000 00D6,"[0, 18675, 0, 18577, 0, 18407, 0, 576, 0, 214]",OK
12:13:05.735,TX,01 03 00 00 00 0A 00 00,FC03 Read Holding Regs  addr=0  qty=10,OK
12:13:05.795,RX,0000 4826 0000 4874 0000 479C 0000 0246 0000 00D6,"[0, 18470, 0, 18548, 0, 18332, 0, 582, 0, 214]",OK
12:13:22.970,TX,01 03 00 00 00 64 00 00,FC03 Read Holding Regs  addr=0  qty=100,OK
12:13:23.305,RX,,[],OK
12:13:33.232,TX,01 04 00 00 00 64 00 00,FC04 Read Input Regs  addr=0  qty=100,OK
12:13:33.269,ERR,MB Exception 0x01: Illegal Function,,ERROR
12:15:13.605,TX,01 04 00 00 00 32 00 00,FC04 Read Input Regs  addr=0  qty=50,OK
12:15:13.660,ERR,MB Exception 0x01: Illegal Function,,ERROR
12:15:18.199,TX,01 03 00 00 00 32 00 00,FC03 Read Holding Regs  addr=0  qty=50,OK
12:15:18.523,RX,0000 482C 0000 47A8 0000 4706 0000 0262 0000 00D3 0000 0164 0000 478D 0000 0046 0000 4747 0000 4721 0000 469A 0002 E35D 0002 E786 0002 E876 0005 01BD 0005 0B29 0005 0519 0000 01C4 0000 03B0 0002 E675 0000 0097 0000 0000 0000 0000 0000 0008 0005 44F7,"[0, 18476, 0, 18344, 0, 18182, 0, 610, 0, 211, 0, 356, 0, 18317, 0, 70, 0, 18247, 0, 18209, 0, 18074, 2, 58205, 2, 59270, 2, 59510, 5, 445, 5, 2857, 5, 1305, 0, 452, 0, 944, 2, 58997, 0, 151, 0, 0, 0, 0, 0, 8, 5, 17655]",OK
12:15:38.120,TX,01 03 00 00 00 32 00 00,FC03 Read Holding Regs  addr=0  qty=50,OK
12:15:38.444,RX,0000 487F 0000 485F 0000 472A 0000 0266 0000 00D1 0000 0171 0000 47F0 0000 0046 0000 476C 0000 4838 0000 46F2 0002 E45E 0002 E844 0002 E7D2 0005 0418 0005 0AB5 0005 051E 0000 01D2 0000 0326 0002 E6D1 0000 009B 0000 0000 0000 0000 0000 0000 0005 492A,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",OK
12:15:53.599,TX,01 03 00 00 00 50 00 00,FC03 Read Holding Regs  addr=0  qty=80,OK
12:15:55.181,RX,,[],OK
12:16:01.775,TX,01 03 00 00 00 3C 00 00,FC03 Read Holding Regs  addr=0  qty=60,OK
12:16:03.212,RX,,[],OK
12:16:09.763,TX,01 03 00 00 00 32 00 00,FC03 Read Holding Regs  addr=0  qty=50,OK
12:16:09.948,RX,,[],OK
12:16:14.961,TX,01 03 00 64 00 32 00 00,FC03 Read Holding Regs  addr=100  qty=50,OK
