line,uid,fc,interpretation,pdu
403,1,3,"FC3 response: 18 reg(s) [0, 21611, 0, 21639, 0, 21381]",03 24 00 00 54 6B 00 00 54 87 00 00 53 85 00 02 E8 49 00 02 E9 FC 00 02 E9 64 00 05 09 A7 00 05 0C 4A 00 05 0A 6C
403,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
405,1,3,"FC3 response: 16 reg(s) [18, 49917, 0, 0, 18, 51284]",03 20 00 12 C2 FD 00 00 00 00 00 12 C8 54 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E2 99
405,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
409,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
409,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
411,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
413,1,3,"FC3 response: 18 reg(s) [0, 21492, 0, 21467, 0, 21252]",03 24 00 00 53 F4 00 00 53 DB 00 00 53 04 00 02 E4 B1 00 02 E8 70 00 02 E9 A3 00 05 03 8E 00 05 0C C8 00 05 07 8C
415,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
417,1,3,"FC3 response: 16 reg(s) [18, 41916, 0, 0, 18, 42438]",03 20 00 12 A3 BC 00 00 00 00 00 12 A5 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 8B 80
417,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
421,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
421,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
423,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
425,1,3,"FC3 response: 18 reg(s) [0, 21405, 0, 21424, 0, 21268]",03 24 00 00 53 9D 00 00 53 B0 00 00 53 14 00 02 E4 F7 00 02 E8 CD 00 02 E8 FB 00 05 04 A5 00 05 0C 49 00 05 06 EA
425,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
427,1,3,"FC3 response: 16 reg(s) [18, 39989, 0, 0, 18, 40180]",03 20 00 12 9C 35 00 00 00 00 00 12 9C F4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 54 59
429,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
431,155,32,FC32 raw len=14,20 00 12 4A BE 00 0B 3B 78 00 97 81 64 05
435,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
435,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
437,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
439,1,3,"FC3 response: 18 reg(s) [0, 21607, 0, 21608, 0, 21377]",03 24 00 00 54 67 00 00 54 68 00 00 53 81 00 02 E9 21 00 02 EA 16 00 02 E9 2F 00 05 0A CE 00 05 0B AA 00 05 0B 2B
439,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
441,1,3,"FC3 response: 16 reg(s) [18, 50580, 0, 0, 18, 51242]",03 20 00 12 C5 94 00 00 00 00 00 12 C8 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 9D B5
441,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
445,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
445,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
447,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
449,1,3,"FC3 response: 18 reg(s) [0, 21684, 0, 21668, 0, 21310]",03 24 00 00 54 B4 00 00 54 A4 00 00 53 3E 00 02 E7 16 00 02 E9 93 00 02 E9 CC 00 05 07 8B 00 05 0C F3 00 05 09 C8
449,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
451,1,3,"FC3 response: 16 reg(s) [18, 51088, 0, 0, 18, 52169]",03 20 00 12 C7 90 00 00 00 00 00 12 CB C9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C9 88
451,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
457,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
457,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
459,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
461,1,3,"FC3 response: 18 reg(s) [0, 21592, 0, 21569, 0, 21265]",03 24 00 00 54 58 00 00 54 41 00 00 53 11 00 02 E4 91 00 02 E7 FB 00 02 E9 2A 00 05 03 2B 00 05 0B C7 00 05 07 1C
461,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
463,1,3,"FC3 response: 16 reg(s) [18, 45162, 0, 0, 18, 45790]",03 20 00 12 B0 6A 00 00 00 00 00 12 B2 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 99 40
463,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
467,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
467,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
469,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
471,1,3,"FC3 response: 18 reg(s) [0, 21501, 0, 21515, 0, 21353]",03 24 00 00 53 FD 00 00 54 0B 00 00 53 69 00 02 E6 F5 00 02 E8 F8 00 02 E9 09 00 05 07 10 00 05 0B 6F 00 05 09 30
471,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
473,1,3,"FC3 response: 16 reg(s) [18, 45728, 0, 0, 18, 45948]",03 20 00 12 B2 A0 00 00 00 00 00 12 B3 7C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5A B0
473,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
477,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
477,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
479,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
481,1,3,"FC3 response: 18 reg(s) [0, 21743, 0, 21782, 0, 21474]",03 24 00 00 54 EF 00 00 55 16 00 00 53 E2 00 02 E8 64 00 02 EA 14 00 02 E8 E5 00 05 0A 23 00 05 0B C8 00 05 09 F0
481,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
483,1,3,"FC3 response: 16 reg(s) [18, 56731, 0, 0, 18, 58086]",03 20 00 12 DD 9B 00 00 00 00 00 12 E2 E6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E2 26
483,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
489,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
489,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
491,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
493,1,3,"FC3 response: 18 reg(s) [0, 21718, 0, 21732, 0, 21331]",03 24 00 00 54 D6 00 00 54 E4 00 00 53 53 00 02 E7 43 00 02 E9 E0 00 02 E9 87 00 05 08 45 00 05 0C E1 00 05 09 7D
493,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
495,1,3,"FC3 response: 16 reg(s) [18, 53247, 0, 0, 18, 54414]",03 20 00 12 CF FF 00 00 00 00 00 12 D4 8E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D1 A8
495,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
499,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
499,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
501,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
503,1,3,"FC3 response: 18 reg(s) [0, 21522, 0, 21534, 0, 21356]",03 24 00 00 54 12 00 00 54 1E 00 00 53 6C 00 02 E4 78 00 02 E7 F1 00 02 E8 DB 00 05 03 21 00 05 0B 73 00 05 06 B6
505,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
507,1,3,"FC3 response: 16 reg(s) [18, 45228, 0, 0, 18, 45494]",03 20 00 12 B0 AC 00 00 00 00 00 12 B1 B6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 63 AE
509,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
515,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
515,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
517,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
519,1,3,"FC3 response: 18 reg(s) [0, 21662, 0, 21691, 0, 21463]",03 24 00 00 54 9E 00 00 54 BB 00 00 53 D7 00 02 E8 99 00 02 E9 AC 00 02 E9 21 00 05 09 BE 00 05 0B 6D 00 05 0A BC
519,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
521,1,3,"FC3 response: 16 reg(s) [18, 54698, 0, 0, 18, 55160]",03 20 00 12 D5 AA 00 00 00 00 00 12 D7 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 83 E8
523,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
527,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
527,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
529,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
531,1,3,"FC3 response: 18 reg(s) [0, 21767, 0, 21779, 0, 21577]",03 24 00 00 55 07 00 00 55 13 00 00 54 49 00 02 E8 94 00 02 E9 BD 00 02 E8 A5 00 05 0A 14 00 05 0A FB 00 05 0A 16
531,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
533,1,3,"FC3 response: 16 reg(s) [18, 58982, 0, 0, 18, 60225]",03 20 00 12 E6 66 00 00 00 00 00 12 EB 41 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D5 77
533,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
537,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
537,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
539,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
541,1,3,"FC3 response: 18 reg(s) [0, 21742, 0, 21715, 0, 21377]",03 24 00 00 54 EE 00 00 54 D3 00 00 53 81 00 02 E5 4B 00 02 E8 67 00 02 E9 57 00 05 04 66 00 05 0C 13 00 05 07 E1
541,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
543,1,3,"FC3 response: 16 reg(s) [18, 53212, 0, 0, 18, 54069]",03 20 00 12 CF DC 00 00 00 00 00 12 D3 35 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B3 92
543,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
549,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
549,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
551,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
553,1,3,"FC3 response: 18 reg(s) [0, 21557, 0, 21647, 0, 21444]",03 24 00 00 54 35 00 00 54 8F 00 00 53 C4 00 02 E6 02 00 02 E7 FE 00 02 E8 E7 00 05 04 EC 00 05 0A AD 00 05 08 86
553,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
555,1,3,"FC3 response: 16 reg(s) [18, 50133, 0, 0, 18, 50345]",03 20 00 12 C3 D5 00 00 00 00 00 12 C4 A9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 59 44
555,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
559,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
561,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
563,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
565,1,3,"FC3 response: 18 reg(s) [0, 21642, 0, 21682, 0, 21464]",03 24 00 00 54 8A 00 00 54 B2 00 00 53 D8 00 02 E8 C1 00 02 E9 A9 00 02 E9 87 00 05 09 A6 00 05 0B CA 00 05 0B 69
565,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
567,1,3,"FC3 response: 16 reg(s) [18, 54739, 0, 0, 18, 55110]",03 20 00 12 D5 D3 00 00 00 00 00 12 D7 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C9 5F
567,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
573,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
573,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
575,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
577,1,3,"FC3 response: 18 reg(s) [0, 21841, 0, 21845, 0, 21498]",03 24 00 00 55 51 00 00 55 55 00 00 53 FA 00 02 E8 7E 00 02 EA 94 00 02 E9 84 00 05 0A 80 00 05 0D 00 00 05 0A 76
577,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
579,1,3,"FC3 response: 16 reg(s) [18, 61343, 0, 0, 18, 62649]",03 20 00 12 EF 9F 00 00 00 00 00 12 F4 B9 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DE 6D
579,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
583,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
583,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
585,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
587,1,3,"FC3 response: 18 reg(s) [0, 21633, 0, 21623, 0, 21418]",03 24 00 00 54 81 00 00 54 77 00 00 53 AA 00 02 E5 00 00 02 E8 73 00 02 E9 BD 00 05 03 D5 00 05 0C BE 00 05 08 0B
589,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
591,1,3,"FC3 response: 16 reg(s) [18, 51092, 0, 0, 18, 51524]",03 20 00 12 C7 94 00 00 00 00 00 12 C9 44 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7F 77
591,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
595,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
597,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
599,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
601,1,3,"FC3 response: 18 reg(s) [0, 21559, 0, 21582, 0, 21453]",03 24 00 00 54 37 00 00 54 4E 00 00 53 CD 00 02 E5 EF 00 02 E9 02 00 02 E9 7D 00 05 09 DB 00 05 0C 26 00 05 0B 0F
601,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
603,1,3,"FC3 response: 16 reg(s) [18, 55389, 0, 0, 18, 55705]",03 20 00 12 D8 5D 00 00 00 00 00 12 D9 99 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 6D 15
603,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
607,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
607,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
609,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
611,1,3,"FC3 response: 18 reg(s) [0, 21759, 0, 21771, 0, 21596]",03 24 00 00 54 FF 00 00 55 0B 00 00 54 5C 00 02 E9 95 00 02 EA 4B 00 02 E9 2B 00 05 0B 8E 00 05 0B A4 00 05 0B 8F
613,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
615,1,3,"FC3 response: 16 reg(s) [18, 60745, 0, 0, 18, 61668]",03 20 00 12 ED 49 00 00 00 00 00 12 F0 E4 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 BA F1
615,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
621,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
621,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
623,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
625,1,3,"FC3 response: 18 reg(s) [0, 21813, 0, 21759, 0, 21503]",03 24 00 00 55 35 00 00 54 FF 00 00 53 FF 00 02 E7 68 00 02 E9 D2 00 02 EA AC 00 05 07 B0 00 05 0E 0C 00 05 0B 09
625,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
627,1,3,"FC3 response: 16 reg(s) [18, 60048, 0, 0, 18, 61112]",03 20 00 12 EA 90 00 00 00 00 00 12 EE B8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C8 B0
629,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
635,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
635,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
637,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
639,1,3,"FC3 response: 18 reg(s) [0, 21614, 0, 21598, 0, 21470]",03 24 00 00 54 6E 00 00 54 5E 00 00 53 DE 00 02 E5 37 00 02 E8 A0 00 02 E8 FD 00 05 04 B3 00 05 0B F3 00 05 07 58
639,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
641,1,3,"FC3 response: 16 reg(s) [18, 51057, 0, 0, 18, 51281]",03 20 00 12 C7 71 00 00 00 00 00 12 C8 51 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5B D1
641,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
645,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
647,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
649,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
651,1,3,"FC3 response: 18 reg(s) [0, 21667, 0, 21680, 0, 21496]",03 24 00 00 54 A3 00 00 54 B0 00 00 53 F8 00 02 E7 CE 00 02 E9 C2 00 02 E9 2A 00 05 08 E1 00 05 0C 01 00 05 09 DD
651,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
653,1,3,"FC3 response: 16 reg(s) [18, 55494, 0, 0, 18, 55770]",03 20 00 12 D8 C6 00 00 00 00 00 12 D9 DA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 0D
653,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
657,0,3,FC3 request: start=59392 qty=7973,03 E8 00 1F 25 81 00 00 59 0C 00 1F 15 36 00 00 2E 21 00 00 00 03 00 11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8A D9 75 01 03 61 B4 00 01 DB D0 01 03 02 00 7C
659,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
661,1,3,"FC3 response: 18 reg(s) [0, 21842, 0, 21884, 0, 21619]",03 24 00 00 55 52 00 00 55 7C 00 00 54 73 00 02 E9 01 00 02 E9 B4 00 02 E9 61 00 05 0A 21 00 05 0B 8C 00 05 0B 6C
661,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
663,1,3,"FC3 response: 16 reg(s) [18, 63686, 0, 0, 18, 65086]",03 20 00 12 F8 C6 00 00 00 00 00 12 FE 3E 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 E6 88
663,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
667,0,17,FC17 raw len=30,11 72 2A 00 00 00 02 00 08 CF 46 00 00 13 8A 99 E2 01 03 61 B4 00 01 DB D0 01 03 02 00 7C
669,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
671,1,3,"FC3 response: 18 reg(s) [0, 21761, 0, 21698, 0, 21478]",03 24 00 00 55 01 00 00 54 C2 00 00 53 E6 00 02 E4 EE 00 02 E8 CB 00 02 E9 C0 00 05 04 2A 00 05 0D 34 00 05 07 BE
671,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
673,1,3,"FC3 response: 16 reg(s) [18, 55860, 0, 0, 18, 56552]",03 20 00 12 DA 34 00 00 00 00 00 12 DC E8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 A1 9A
675,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
679,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
679,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
681,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
683,1,3,"FC3 response: 18 reg(s) [0, 21637, 0, 21622, 0, 21479]",03 24 00 00 54 85 00 00 54 76 00 00 53 E7 00 02 E4 F4 00 02 E8 8E 00 02 E9 19 00 05 04 41 00 05 0C 28 00 05 07 33
685,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
687,1,3,"FC3 response: 16 reg(s) [18, 52098, 0, 0, 18, 52357]",03 20 00 12 CB 82 00 00 00 00 00 12 CC 85 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 62 A2
687,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
691,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
693,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
695,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
697,1,3,"FC3 response: 18 reg(s) [0, 21772, 0, 21738, 0, 21565]",03 24 00 00 55 0C 00 00 54 EA 00 00 54 3D 00 02 E8 D8 00 02 EA 31 00 02 E9 1D 00 05 0A A0 00 05 0B E2 00 05 0A B2
697,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
699,1,3,"FC3 response: 16 reg(s) [18, 59939, 0, 0, 18, 60492]",03 20 00 12 EA 23 00 00 00 00 00 12 EC 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 90 A6
699,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
703,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
703,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
705,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
707,1,3,"FC3 response: 18 reg(s) [0, 21907, 0, 21858, 0, 21591]",03 24 00 00 55 93 00 00 55 62 00 00 54 57 00 02 E7 E3 00 02 EA 41 00 02 EA 00 00 05 09 1F 00 05 0D 84 00 05 0A 8B
709,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
711,1,3,"FC3 response: 16 reg(s) [18, 64936, 0, 0, 19, 619]",03 20 00 12 FD A8 00 00 00 00 00 13 02 6B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D7 43
711,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
715,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
717,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
719,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
721,1,3,"FC3 response: 18 reg(s) [0, 21783, 0, 21750, 0, 21521]",03 24 00 00 55 17 00 00 54 F6 00 00 54 11 00 02 E5 46 00 02 E9 17 00 02 E9 D8 00 05 04 DB 00 05 0D 77 00 05 08 0C
721,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
723,1,3,FC3 request: start=8192 qty=4835,03 20 00 12 E3 9F 00 00 00 00 00 12 E6 E7 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 B2
723,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
727,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
727,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
729,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
731,1,3,"FC3 response: 18 reg(s) [0, 21680, 0, 21655, 0, 21524]",03 24 00 00 54 B0 00 00 54 97 00 00 54 14 00 02 E6 C9 00 02 E9 7D 00 02 E9 4F 00 05 07 4F 00 05 0C 6E 00 05 09 05
733,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
735,1,3,"FC3 response: 16 reg(s) [18, 55517, 0, 0, 18, 55752]",03 20 00 12 D8 DD 00 00 00 00 00 12 D9 C8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 5E 38
735,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
739,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
739,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
741,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
743,1,3,"FC3 response: 18 reg(s) [0, 21889, 0, 21911, 0, 21614]",03 24 00 00 55 81 00 00 55 97 00 00 54 6E 00 02 E9 59 00 02 EA B9 00 02 E9 24 00 05 0B D3 00 05 0C 3C 00 05 0A FC
743,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
745,1,3,"FC3 response: 16 reg(s) [19, 245, 0, 0, 19, 1496]",03 20 00 13 00 F5 00 00 00 00 00 13 05 D8 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 DA 16
747,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
753,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
753,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
755,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
757,1,3,"FC3 response: 18 reg(s) [0, 21922, 0, 21877, 0, 21518]",03 24 00 00 55 A2 00 00 55 75 00 00 54 0E 00 02 E8 03 00 02 EA 64 00 02 E9 A0 00 05 09 AB 00 05 0D 29 00 05 0A 29
757,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
759,1,3,"FC3 response: 16 reg(s) [18, 63958, 0, 0, 18, 65186]",03 20 00 12 F9 D6 00 00 00 00 00 12 FE A2 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D7 F8
759,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
763,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
763,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
765,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
767,1,3,"FC3 response: 18 reg(s) [0, 21784, 0, 21680, 0, 21486]",03 24 00 00 55 18 00 00 54 B0 00 00 53 EE 00 02 E4 12 00 02 E7 EB 00 02 E8 AA 00 05 02 BF 00 05 0B 68 00 05 06 0F
767,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
769,1,3,"FC3 response: 16 reg(s) [18, 54846, 0, 0, 18, 55191]",03 20 00 12 D6 3E 00 00 00 00 00 12 D7 97 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 71 FC
769,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
773,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
773,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
775,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
777,1,3,"FC3 response: 18 reg(s) [0, 21735, 0, 21771, 0, 21565]",03 24 00 00 54 E7 00 00 55 0B 00 00 54 3D 00 02 E7 AA 00 02 E9 F0 00 02 E8 C0 00 05 09 28 00 05 0B D8 00 05 09 16
779,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
781,1,3,"FC3 response: 16 reg(s) [18, 59167, 0, 0, 18, 59567]",03 20 00 12 E7 1F 00 00 00 00 00 12 E8 AF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 7B 0B
781,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
785,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
785,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
787,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
789,1,3,"FC3 response: 18 reg(s) [0, 21871, 0, 21927, 0, 21667]",03 24 00 00 55 6F 00 00 55 A7 00 00 54 A3 00 02 E8 BA 00 02 EA 3F 00 02 E8 A4 00 05 0A D1 00 05 0B 78 00 05 09 FB
789,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
791,1,3,"FC3 response: 16 reg(s) [19, 652, 0, 0, 19, 1717]",03 20 00 13 02 8C 00 00 00 00 00 13 06 B5 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 C9 44
791,1,3,FC3 request: start=166 qty=36,03 00 A6 00 24
795,1,3,FC3 request: start=25012 qty=1,03 61 B4 00 01
795,1,3,FC3 response: 1 reg(s) [124],03 02 00 7C
797,1,3,FC3 request: start=16 qty=18,03 00 10 00 12
799,1,3,"FC3 response: 18 reg(s) [0, 21883, 0, 21857, 0, 21506]",03 24 00 00 55 7B 00 00 55 61 00 00 54 02 00 02 E5 38 00 02 E8 9D 00 02 E8 FA 00 05 04 BE 00 05 0B F4 00 05 07 41
799,1,3,FC3 request: start=102 qty=16,03 00 66 00 10
