Timestamp,Direction,Frame,Parsed,Status
21:10:53.784,INF,Session started – logs → logs\modbus_20260327_211053.*,,OK
21:10:59.343,ERR,RTU connection failed → COM1,,ERROR
21:11:00.886,ERR,RTU connection failed → COM1,,ERROR
21:11:05.001,INF,RTU connected → COM8  9600/N/1/8  slave=1,,OK
21:11:17.974,TX,01 03 13 87 00 02 00 00,FC03 Read Holding Regs  addr=4999  qty=2,OK
21:11:18.036,RX,07EA 0003,"[2026, 3]",OK
21:12:26.770,TX,01 03 13 87 00 02 00 00,FC03 Read Holding Regs  addr=4999  qty=2,OK
21:12:26.846,RX,07EA 0003,"[2026, 3]",OK
21:12:28.733,TX,01 03 13 87 00 02 00 00,FC03 Read Holding Regs  addr=4999  qty=2,OK
21:12:28.771,RX,07EA 0003,"[2026, 3]",OK
21:13:15.143,TX,01 03 13 B9 00 01 00 00,FC03 Read Holding Regs  addr=5049  qty=1,OK
21:13:15.205,RX,FFFF,[65535],OK
21:13:20.460,TX,01 03 13 B9 00 02 00 00,FC03 Read Holding Regs  addr=5049  qty=2,OK
21:13:20.568,RX,FFFF FFFF,"[65535, 65535]",OK
21:14:15.362,TX,01 03 13 EF 00 02 00 00,FC03 Read Holding Regs  addr=5103  qty=2,OK
21:14:15.406,RX,FFFF FFFF,"[65535, 65535]",OK
21:14:30.908,TX,01 03 13 EF 00 02 00 00,FC03 Read Holding Regs  addr=5103  qty=2,OK
21:14:30.991,RX,FFFF FFFF,"[65535, 65535]",OK
21:14:32.314,TX,01 03 13 EF 00 02 00 00,FC03 Read Holding Regs  addr=5103  qty=2,OK
21:14:32.404,RX,FFFF FFFF,"[65535, 65535]",OK
21:14:33.378,TX,01 03 13 EF 00 02 00 00,FC03 Read Holding Regs  addr=5103  qty=2,OK
21:14:33.416,RX,FFFF FFFF,"[65535, 65535]",OK
21:14:34.418,TX,01 03 13 EF 00 02 00 00,FC03 Read Holding Regs  addr=5103  qty=2,OK
21:14:34.530,RX,FFFF FFFF,"[65535, 65535]",OK
21:14:35.365,TX,01 03 13 EF 00 02 00 00,FC03 Read Holding Regs  addr=5103  qty=2,OK
21:14:35.437,RX,FFFF FFFF,"[65535, 65535]",OK
21:15:02.247,INF,Disconnected,,OK
